video_id,title,path,recording_at,recording_end,track_id,tracker_id,start_time,end_time,object_type,width,length,detection_time,x_cord_m,y_cord_m,total_kms,speed_km_h,direction
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.609902,100.57284,150.72849,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.653724,100.58562,150.72609,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.696987,100.59715,150.73207,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.741472,100.60740,150.74097,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.78559,100.60193,150.75746,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.827725,100.58870,150.78902,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.869775,100.58461,150.82446,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.911769,100.58598,150.83925,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.952506,100.59206,150.84679,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:53.999243,100.60544,150.84906,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.04449,100.60917,150.84863,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.117387,100.60629,150.85825,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.159752,100.60597,150.87141,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.202338,100.60609,150.87430,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.275141,100.60307,150.88022,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.320647,100.60056,150.89240,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.368605,100.58566,150.90770,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.416292,100.56847,150.91373,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.492548,100.55907,150.92596,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.545803,100.55293,150.94766,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.592883,100.55775,150.96198,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.636649,100.56432,150.96889,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.680238,100.56811,150.97618,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.760222,100.55969,150.96771,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.807552,100.55357,150.96565,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.849747,100.54594,150.96371,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.893261,100.52968,150.95752,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.93622,100.52535,150.95937,,,
